"SITE","YEAR","COVERCROP","a","b","c","jp","plateau_val","message"
"Beresford","2019","MC",11004.0797895123,36.2721964536127,-0.177309267582474,102.285111624921,12859.1326210817,"Model converged with nls"
"Beresford","2019","NC",10915.9130593095,64.0882024837183,-0.572216093604628,56,12710.3827288536,"Used brute-force"
"Beresford","2019","SC",11231.4982388711,18.0486258866049,-0.0575396504505761,156.836422756059,12646.8391987298,"Model converged with nls"
"Beresford","2020","MC",8470.83176426444,13.7230901450543,-0.0245055181161683,280,10392.064384572,"Model converged with nls"
"Beresford","2020","NC",9165.08301553057,57.3891693115335,-0.512403297424406,56,10771.9797562535,"Used brute-force"
"Beresford","2020","SC",8481.73150033325,41.932886418671,-0.244441495062349,85.7728480346089,10280.0830475538,"Model converged with nls"
"Beresford","2021","MC",6746.93673925867,79.5886359340103,-0.405738941471899,98.0786261792948,10649.9087752046,"Model converged with nls"
"Beresford","2021","NC",7071.24516720118,68.7452640060514,-0.324583769679006,105.897568559938,10711.2233213271,"Model converged with nls"
"Beresford","2021","SC",6918.06966078831,61.9449695207767,-0.26255131335056,117.96735794284,10571.8118568962,"Model converged with nls"
"Beresford","2022","MC",6027.47540675459,6.42722250608285,-0.0114771830465765,280,6927.28655760619,"Model converged with nls"
"Beresford","2022","NC",5854.24136668891,31.5360463725587,-0.236751678607344,66.6015264560419,6904.41578008937,"Model converged with nls"
"Beresford","2022","SC",5506.41685730195,26.8338094177489,-0.144795374963673,92.6611413675372,6749.64256124574,"Model converged with nls"
"Beresford","2023","MC",6859.50060576543,61.1647470982439,-0.225590232763447,135.566035703285,11005.4317502169,"Model converged with nls"
"Beresford","2023","NC",6293.61073616287,55.6101911954221,-0.148632006839878,187.073404907098,11495.204643394,"Model converged with nls"
"Beresford","2023","SC",7246.33206044623,49.2595640241759,-0.144753109671008,170.150279106722,11437.0963441407,"Model converged with nls"
"Beresford","2024","MC",5505.74241223714,60.8758127739896,-0.144724252161132,210.316556710247,11907.3380770187,"Model converged with nls"
"Beresford","2024","NC",4971.0175242356,89.2919224705648,-0.300010443859714,148.814690118451,11614.9924105045,"Model converged with nls"
"Beresford","2024","SC",5321.67307320386,72.9826140554617,-0.251706440247395,144.97565891387,10612.0243541775,"Model converged with nls"
"Brookings","2019","MC",5794.34195459524,36.955038853778,-0.095355947709303,193.774167954563,9374.80790740493,"Model converged with nls"
"Brookings","2019","NC",5946.47624311844,46.0234388625285,-0.16436942450903,140,9168.11696349543,"Used brute-force"
"Brookings","2019","SC",5918.76622252627,75.5752485541586,-0.373435738078491,101.189094732912,9742.46171523133,"Model converged with nls"
"Brookings","2020","MC",5926.03548564095,-1.01712727698139,0.00201810967655037,252,5797.87744874129,"Model converged with nls"
"Brookings","2020","NC",5585.8984295544,-3.20453208348458,0.00635819857834242,252,5182.12738703534,"Model converged with nls"
"Brookings","2020","SC",6284.4675220903,-5.25918231065188,0.0313046566110231,84,6063.58186504292,"Used brute-force"
"Brookings","2021","MC",5360.4909241162,6.96921756850575,-0.023509905047917,148.218751932459,5876.97528909104,"Model converged with nls"
"Brookings","2021","NC",5565.1054076532,3.86466174204438,-0.00766797964691345,252,6052.05278715079,"Model converged with nls"
"Brookings","2021","SC",4981.69774317809,5.51373620467061,-0.0109399527870449,252,5676.42850496659,"Model converged with nls"
"Brookings","2022","MC",7450.0564409886,31.2024988898771,-0.151960221866285,102.666666666667,9051.78471733562,"Used brute-force"
"Brookings","2022","NC",8023.89685280087,22.3534563550031,-0.0715380254315003,156.234787165094,9770.09060081494,"Model converged with nls"
"Brookings","2022","SC",7029.39750264185,33.0746910160628,-0.103516320020298,159.755925488741,9671.33643940447,"Model converged with nls"
"Brookings","2023","MC",7451.03682604282,33.2676007278264,-0.198021432903729,84,8848.27605661154,"Used brute-force"
"Brookings","2023","NC",7216.7287038637,51.8087900164602,-0.308385654859882,84,9392.69788455503,"Used brute-force"
"Brookings","2023","SC",7373.13003176718,35.3967250977287,-0.210694792248385,84,8859.79248587178,"Used brute-force"
"Brookings","2024","MC",6637.89585124419,63.3654226942172,-0.284707202754097,111.281734499963,10163.6029236121,"Model converged with nls"
"Brookings","2024","NC",6612.98143514484,78.8690915393337,-0.404789213731406,97.4199519946528,10454.6929909567,"Model converged with nls"
"Brookings","2024","SC",6613.81550480361,48.3004079693522,-0.208775785067162,115.675311564065,9407.39787506674,"Model converged with nls"
